bv_id,tyc2_id,x,y,dist,label,uid,date,n_view,link
BV1fu4y1v7Tg,TYC 2684-2041-1,0.45359528,-0.6572934,1.0,13,62880505.0,2023-08-22,4552.0,//player.bilibili.com/player.html?isOutside=true&aid=915041343&bvid=BV1fu4y1v7Tg&cid=1243398641&p=1
BV1jN41167ti,TYC 6321-2021-1,0.4443686,-0.8343008,1.0,9,357512039.0,2023-08-22,1462.0,//player.bilibili.com/player.html?isOutside=true&aid=489890354&bvid=BV1jN41167ti&cid=1240511361&p=1
BV138411Q7K6,TYC 1061-2577-1,0.43942273,-0.879201,1.0,93,179469844.0,2023-08-20,454.0,//player.bilibili.com/player.html?isOutside=true&aid=232549748&bvid=BV138411Q7K6&cid=1240905776&p=1
BV1CF411C7gx,TYC 3598-2172-1,0.51658535,-0.40786213,1.0,35,312300395.0,2023-08-21,1767.0,//player.bilibili.com/player.html?isOutside=true&aid=275120398&bvid=BV1CF411C7gx&cid=1241743707&p=1
BV1xm4y1M7wR,TYC 6557-4523-1,-0.41611665,0.8062924,0.36831486,91,19584745.0,2023-08-21,99962.0,//player.bilibili.com/player.html?isOutside=true&aid=702569078&bvid=BV1xm4y1M7wR&cid=1241767136&p=1
BV1Fu411E7Xt,TYC 3592-7443-1,0.48978245,-0.4624896,1.0,8,1189226417.0,2023-08-20,1839.0,//player.bilibili.com/player.html?isOutside=true&aid=532585938&bvid=BV1Fu411E7Xt&cid=1241208164&p=1
BV1Lu411J7dU,TYC 3151-3442-1,0.44539595,-0.64960074,1.0,10,321136799.0,2023-08-16,716.0,//player.bilibili.com/player.html?isOutside=true&aid=532340180&bvid=BV1Lu411J7dU&cid=1236156518&p=1
BV1fh4y1m7d7,TYC 2149-1880-1,0.44602036,-0.7643293,1.0,58,14431522.0,2023-08-20,2473.0,//player.bilibili.com/player.html?isOutside=true&aid=660101914&bvid=BV1fh4y1m7d7&cid=1240910154&p=1
BV1414y1i7UB,TYC 3156-2223-1,0.44365168,-0.6209116,1.0,9,259233243.0,2023-08-20,1361.0,//player.bilibili.com/player.html?isOutside=true&aid=787446480&bvid=BV1414y1i7UB&cid=1240498774&p=1
BV1Sr4y197ju,TYC 3575-6709-1,0.46584368,-0.5133103,1.0,75,356160341.0,2023-08-20,7952.0,//player.bilibili.com/player.html?isOutside=true&aid=745043122&bvid=BV1Sr4y197ju&cid=1240859779&p=1
BV1Sh4y197Vw,TYC 6885-2837-1,0.23365963,-0.83498394,0.45105958,41,14425668.0,2023-06-10,87553.0,//player.bilibili.com/player.html?isOutside=true&aid=657013199&bvid=BV1Sh4y197Vw&cid=1155600890&p=1
BV1S44y1c7TB,TYC 8408-532-1,0.46610403,-0.511154,1.0,44,391281625.0,2023-08-18,766.0,//player.bilibili.com/player.html?isOutside=true&aid=999728504&bvid=BV1S44y1c7TB&cid=1232951044&p=1
BV1Tu41177Bs,TYC 2683-3962-1,0.4433347,-0.666694,1.0,16,399950312.0,2023-08-18,1674.0,//player.bilibili.com/player.html?isOutside=true&aid=532439925&bvid=BV1Tu41177Bs&cid=1239115210&p=1
BV1Eu4y197zk,TYC 3579-4461-1,0.47704995,-0.47793174,1.0,16,43977445.0,2023-08-16,1368.0,//player.bilibili.com/player.html?isOutside=true&aid=829813382&bvid=BV1Eu4y197zk&cid=1237572186&p=1
BV11h4y1S71A,TYC 5737-2472-1,0.4411205,-0.86561966,1.0,25,269391445.0,2023-08-18,944.0,//player.bilibili.com/player.html?isOutside=true&aid=659886640&bvid=BV11h4y1S71A&cid=1238905760&p=1
BV1fu411E7VM,TYC 2153-2883-1,0.44511437,-0.74390155,1.0,76,43977445.0,2023-08-16,588.0,//player.bilibili.com/player.html?isOutside=true&aid=532281733&bvid=BV1fu411E7VM&cid=1237557762&p=1
BV1R44y1c7BU,TYC 5821-1478-1,0.97365177,-0.1854958,1.0,46,43977445.0,2023-08-16,397.0,//player.bilibili.com/player.html?isOutside=true&aid=999784182&bvid=BV1R44y1c7BU&cid=1237533198&p=1
BV1Ru4y1v7a4,TYC 3612-3062-1,0.5448499,-0.35799962,1.0,2,390183124.0,2023-08-18,2950.0,//player.bilibili.com/player.html?isOutside=true&aid=914996495&bvid=BV1Ru4y1v7a4&cid=1237642395&p=1
BV1pX4y1n7Yy,TYC 3215-1149-1,0.7453921,-0.2078442,1.0,69,525927047.0,2023-07-25,857.0,//player.bilibili.com/player.html?isOutside=true&aid=358833640&bvid=BV1pX4y1n7Yy&cid=1209295942&p=1
BV1gz4y1u7yd,TYC 6896-2102-1,0.44495678,-0.7791846,1.0,80,3493078383986861.0,2023-08-18,242.0,//player.bilibili.com/player.html?isOutside=true&aid=574922847&bvid=BV1gz4y1u7yd&cid=1238275075&p=1
BV1zr4y1d74Q,TYC 7444-1508-1,0.43740296,-0.72591364,1.0,7,15817819.0,2023-08-18,150633.0,//player.bilibili.com/player.html?isOutside=true&aid=744875877&bvid=BV1zr4y1d74Q&cid=1240571835&p=1
